transcript_id	count	tpm	effective_length
transcript_0047	2365.00	244596.131968	1000
transcript_0020	1381.00	142827.593340	1000
transcript_0077	534.00	55228.048402	1000
transcript_0127	252.00	26062.674527	1000
transcript_0088	173.00	17892.232909	1000
transcript_0175	164.00	16961.423105	1000
transcript_0181	161.00	16651.153170	1000
transcript_0033	122.00	12617.644017	1000
transcript_0036	111.00	11479.987589	1000
transcript_0182	110.00	11376.564278	1000
transcript_0194	98.00	10135.484538	1000
transcript_0104	97.00	10032.061227	1000
transcript_0070	94.00	9721.791292	1000
transcript_0155	91.00	9411.521357	1000
transcript_0198	88.00	9101.251422	1000
transcript_0009	88.00	9101.251422	1000
transcript_0121	88.00	9101.251422	1000
transcript_0086	87.00	8997.828110	1000
transcript_0013	81.00	8377.288241	1000
transcript_0124	80.00	8273.864929	1000
transcript_0032	79.00	8170.441618	1000
transcript_0102	77.00	7963.594994	1000
transcript_0164	76.00	7860.171683	1000
transcript_0123	74.00	7653.325059	1000
transcript_0060	73.00	7549.901748	1000
transcript_0199	72.00	7446.478436	1000
transcript_0188	68.00	7032.785190	1000
transcript_0097	65.00	6722.515255	1000
transcript_0076	62.00	6412.245320	1000
transcript_0191	62.00	6412.245320	1000
transcript_0150	61.00	6308.822008	1000
transcript_0025	61.00	6308.822008	1000
transcript_0111	59.00	6101.975385	1000
transcript_0008	58.00	5998.552074	1000
transcript_0064	57.00	5895.128762	1000
transcript_0035	57.00	5895.128762	1000
transcript_0148	57.00	5895.128762	1000
transcript_0007	55.00	5688.282139	1000
transcript_0185	54.00	5584.858827	1000
transcript_0106	54.00	5584.858827	1000
transcript_0066	52.00	5378.012204	1000
transcript_0186	50.00	5171.165581	1000
transcript_0080	47.00	4860.895646	1000
transcript_0017	46.00	4757.472334	1000
transcript_0160	43.00	4447.202399	1000
transcript_0125	43.00	4447.202399	1000
transcript_0001	43.00	4447.202399	1000
transcript_0172	43.00	4447.202399	1000
transcript_0079	41.00	4240.355776	1000
transcript_0042	41.00	4240.355776	1000
transcript_0026	39.00	4033.509153	1000
transcript_0192	38.00	3930.085841	1000
transcript_0126	38.00	3930.085841	1000
transcript_0052	37.00	3826.662530	1000
transcript_0012	36.00	3723.239218	1000
transcript_0018	35.00	3619.815907	1000
transcript_0051	35.00	3619.815907	1000
transcript_0040	33.00	3412.969283	1000
transcript_0029	33.00	3412.969283	1000
transcript_0010	33.00	3412.969283	1000
transcript_0162	33.00	3412.969283	1000
