transcript_id	count	tpm	effective_length
transcript_0366	997.00	41227.308440	1000
transcript_0294	661.00	27333.250631	1000
transcript_0384	621.00	25679.196130	1000
transcript_0471	566.00	23404.871191	1000
transcript_0454	486.00	20096.762188	1000
transcript_0430	482.00	19931.356738	1000
transcript_0417	454.00	18773.518587	1000
transcript_0054	449.00	18566.761775	1000
transcript_0045	415.00	17160.815449	1000
transcript_0406	405.00	16747.301824	1000
transcript_0055	387.00	16002.977298	1000
transcript_0375	355.00	14679.733697	1000
transcript_0393	327.00	13521.895546	1000
transcript_0104	319.00	13191.084646	1000
transcript_0097	291.00	12033.246495	1000
transcript_0157	280.00	11578.381508	1000
transcript_0439	247.00	10213.786544	1000
transcript_0214	247.00	10213.786544	1000
transcript_0387	239.00	9882.975644	1000
transcript_0265	238.00	9841.624282	1000
transcript_0071	233.00	9634.867469	1000
transcript_0256	216.00	8931.894306	1000
transcript_0408	205.00	8477.029318	1000
transcript_0228	201.00	8311.623868	1000
transcript_0455	196.00	8104.867055	1000
transcript_0216	196.00	8104.867055	1000
transcript_0164	195.00	8063.515693	1000
transcript_0192	194.00	8022.164330	1000
transcript_0396	182.00	7525.947980	1000
transcript_0386	182.00	7525.947980	1000
transcript_0183	179.00	7401.893892	1000
transcript_0412	167.00	6905.677542	1000
transcript_0367	163.00	6740.272092	1000
transcript_0287	162.00	6698.920729	1000
transcript_0320	161.00	6657.569367	1000
transcript_0237	157.00	6492.163917	1000
transcript_0182	152.00	6285.407104	1000
transcript_0014	148.00	6120.001654	1000
transcript_0015	147.00	6078.650292	1000
transcript_0125	145.00	5995.947566	1000
transcript_0139	144.00	5954.596204	1000
transcript_0485	141.00	5830.542116	1000
transcript_0331	140.00	5789.190754	1000
transcript_0279	138.00	5706.488029	1000
transcript_0297	133.00	5499.731216	1000
transcript_0046	133.00	5499.731216	1000
transcript_0437	129.00	5334.325766	1000
transcript_0290	128.00	5292.974404	1000
transcript_0338	127.00	5251.623041	1000
transcript_0052	121.00	5003.514866	1000
transcript_0450	118.00	4879.460778	1000
transcript_0206	114.00	4714.055328	1000
transcript_0124	114.00	4714.055328	1000
transcript_0075	112.00	4631.352603	1000
transcript_0204	110.00	4548.649878	1000
transcript_0099	109.00	4507.298515	1000
transcript_0497	107.00	4424.595790	1000
transcript_0410	107.00	4424.595790	1000
transcript_0023	107.00	4424.595790	1000
transcript_0233	106.00	4383.244428	1000
transcript_0147	103.00	4259.190340	1000
transcript_0268	101.00	4176.487615	1000
transcript_0072	99.00	4093.784890	1000
transcript_0428	95.00	3928.379440	1000
transcript_0313	95.00	3928.379440	1000
transcript_0495	94.00	3887.028078	1000
transcript_0222	94.00	3887.028078	1000
transcript_0111	93.00	3845.676715	1000
transcript_0363	93.00	3845.676715	1000
transcript_0302	92.00	3804.325353	1000
transcript_0197	91.00	3762.973990	1000
transcript_0135	91.00	3762.973990	1000
transcript_0376	89.00	3680.271265	1000
transcript_0240	89.00	3680.271265	1000
transcript_0073	88.00	3638.919902	1000
transcript_0144	86.00	3556.217177	1000
transcript_0106	85.00	3514.865815	1000
transcript_0318	85.00	3514.865815	1000
transcript_0122	84.00	3473.514452	1000
transcript_0355	83.00	3432.163090	1000
transcript_0114	82.00	3390.811727	1000
transcript_0176	81.00	3349.460365	1000
transcript_0030	80.00	3308.109002	1000
transcript_0398	80.00	3308.109002	1000
transcript_0184	79.00	3266.757640	1000
transcript_0372	79.00	3266.757640	1000
transcript_0348	77.00	3184.054915	1000
transcript_0084	72.00	2977.298102	1000
transcript_0267	72.00	2977.298102	1000
transcript_0189	70.00	2894.595377	1000
transcript_0069	68.00	2811.892652	1000
transcript_0169	65.00	2687.838564	1000
transcript_0202	64.00	2646.487202	1000
transcript_0400	64.00	2646.487202	1000
transcript_0162	62.00	2563.784477	1000
transcript_0032	61.00	2522.433114	1000
transcript_0317	60.00	2481.081752	1000
transcript_0065	59.00	2439.730389	1000
transcript_0434	59.00	2439.730389	1000
transcript_0042	59.00	2439.730389	1000
transcript_0019	58.00	2398.379027	1000
transcript_0421	58.00	2398.379027	1000
transcript_0479	57.00	2357.027664	1000
transcript_0464	57.00	2357.027664	1000
transcript_0241	56.00	2315.676302	1000
transcript_0335	56.00	2315.676302	1000
transcript_0446	56.00	2315.676302	1000
transcript_0107	56.00	2315.676302	1000
transcript_0220	56.00	2315.676302	1000
transcript_0188	53.00	2191.622214	1000
transcript_0226	52.00	2150.270851	1000
transcript_0264	52.00	2150.270851	1000
transcript_0278	52.00	2150.270851	1000
transcript_0028	51.00	2108.919489	1000
transcript_0424	51.00	2108.919489	1000
transcript_0207	51.00	2108.919489	1000
transcript_0465	50.00	2067.568126	1000
transcript_0096	49.00	2026.216764	1000
transcript_0077	49.00	2026.216764	1000
transcript_0429	48.00	1984.865401	1000
transcript_0167	48.00	1984.865401	1000
transcript_0443	48.00	1984.865401	1000
transcript_0359	48.00	1984.865401	1000
transcript_0208	47.00	1943.514039	1000
transcript_0201	47.00	1943.514039	1000
transcript_0224	47.00	1943.514039	1000
transcript_0024	46.00	1902.162676	1000
transcript_0482	45.00	1860.811314	1000
transcript_0306	45.00	1860.811314	1000
transcript_0324	45.00	1860.811314	1000
transcript_0085	44.00	1819.459951	1000
transcript_0249	44.00	1819.459951	1000
transcript_0404	44.00	1819.459951	1000
transcript_0397	43.00	1778.108589	1000
transcript_0172	43.00	1778.108589	1000
transcript_0255	42.00	1736.757226	1000
transcript_0414	42.00	1736.757226	1000
transcript_0229	41.00	1695.405864	1000
transcript_0150	41.00	1695.405864	1000
transcript_0095	41.00	1695.405864	1000
transcript_0345	40.00	1654.054501	1000
