gene_id	sample_id	corrected_count
GENE_00001	Control_Batch1_Rep1	416.107304
GENE_00001	Control_Batch1_Rep4	399.222937
GENE_00001	Control_Batch2_Rep3	364.508815
GENE_00001	Control_Batch2_Rep6	368.810845
GENE_00001	Control_Batch3_Rep2	426.077123
GENE_00001	Control_Batch3_Rep5	402.664813
GENE_00001	Treatment_Batch1_Rep2	221.811384
GENE_00001	Treatment_Batch1_Rep5	203.863980
GENE_00001	Treatment_Batch2_Rep1	182.375362
GENE_00001	Treatment_Batch2_Rep4	197.560530
GENE_00001	Treatment_Batch3_Rep3	205.459044
GENE_00001	Treatment_Batch3_Rep6	220.200622
GENE_00002	Control_Batch1_Rep1	116.309511
GENE_00002	Control_Batch1_Rep4	114.638324
GENE_00002	Control_Batch2_Rep3	100.619620
GENE_00002	Control_Batch2_Rep6	105.283373
GENE_00002	Control_Batch3_Rep2	125.580626
GENE_00002	Control_Batch3_Rep5	95.446474
GENE_00002	Treatment_Batch1_Rep2	210.515433
GENE_00002	Treatment_Batch1_Rep5	193.619558
GENE_00002	Treatment_Batch2_Rep1	212.988369
GENE_00002	Treatment_Batch2_Rep4	221.448568
GENE_00002	Treatment_Batch3_Rep3	231.720726
GENE_00002	Treatment_Batch3_Rep6	263.316828
GENE_00003	Control_Batch1_Rep1	274.731087
GENE_00003	Control_Batch1_Rep4	287.601410
GENE_00003	Control_Batch2_Rep3	274.647267
GENE_00003	Control_Batch2_Rep6	264.165554
GENE_00003	Control_Batch3_Rep2	321.426601
GENE_00003	Control_Batch3_Rep5	323.623202
GENE_00003	Treatment_Batch1_Rep2	162.250919
GENE_00003	Treatment_Batch1_Rep5	169.032948
GENE_00003	Treatment_Batch2_Rep1	152.413696
GENE_00003	Treatment_Batch2_Rep4	137.517624
GENE_00003	Treatment_Batch3_Rep3	179.197362
GENE_00003	Treatment_Batch3_Rep6	170.924958
GENE_00004	Control_Batch1_Rep1	4.010673
GENE_00004	Control_Batch1_Rep4	3.016798
GENE_00004	Control_Batch2_Rep3	5.695450
GENE_00004	Control_Batch2_Rep6	3.828487
GENE_00004	Control_Batch3_Rep2	5.980029
GENE_00004	Control_Batch3_Rep5	7.456756
GENE_00004	Treatment_Batch1_Rep2	8.215236
GENE_00004	Treatment_Batch1_Rep5	5.122211
GENE_00004	Treatment_Batch2_Rep1	5.210724
GENE_00004	Treatment_Batch2_Rep4	7.101849
GENE_00004	Treatment_Batch3_Rep3	4.634414
GENE_00004	Treatment_Batch3_Rep6	12.318916
GENE_00005	Control_Batch1_Rep1	48.128074
GENE_00005	Control_Batch1_Rep4	45.251970
GENE_00005	Control_Batch2_Rep3	50.626224
GENE_00005	Control_Batch2_Rep6	48.494160
GENE_00005	Control_Batch3_Rep2	49.335245
GENE_00005	Control_Batch3_Rep5	62.636748
GENE_00005	Treatment_Batch1_Rep2	22.591900
GENE_00005	Treatment_Batch1_Rep5	28.684379
GENE_00005	Treatment_Batch2_Rep1	28.007644
GENE_00005	Treatment_Batch2_Rep4	32.281132
GENE_00005	Treatment_Batch3_Rep3	21.627268
GENE_00005	Treatment_Batch3_Rep6	32.337155
GENE_00006	Control_Batch1_Rep1	929.473423
GENE_00006	Control_Batch1_Rep4	911.072999
GENE_00006	Control_Batch2_Rep3	928.358387
GENE_00006	Control_Batch2_Rep6	918.198627
GENE_00006	Control_Batch3_Rep2	1018.100071
GENE_00006	Control_Batch3_Rep5	948.499338
GENE_00006	Treatment_Batch1_Rep2	912.918148
GENE_00006	Treatment_Batch1_Rep5	938.388971
GENE_00006	Treatment_Batch2_Rep1	955.516627
GENE_00006	Treatment_Batch2_Rep4	924.531632
GENE_00006	Treatment_Batch3_Rep3	1036.564051
GENE_00006	Treatment_Batch3_Rep6	1060.966631
GENE_00007	Control_Batch1_Rep1	24.064037
GENE_00007	Control_Batch1_Rep4	24.134384
GENE_00007	Control_Batch2_Rep3	24.680285
GENE_00007	Control_Batch2_Rep6	22.970917
GENE_00007	Control_Batch3_Rep2	29.900149
GENE_00007	Control_Batch3_Rep5	35.792428
GENE_00007	Treatment_Batch1_Rep2	26.699518
GENE_00007	Treatment_Batch1_Rep5	24.586611
GENE_00007	Treatment_Batch2_Rep1	24.099601
GENE_00007	Treatment_Batch2_Rep4	32.926755
GENE_00007	Treatment_Batch3_Rep3	32.440902
