gene_id	sample_id	normalized_count
GENE_00001	Control_Batch1_Rep1	416.107304
GENE_00001	Control_Batch1_Rep4	399.222937
GENE_00001	Control_Batch2_Rep3	383.693489
GENE_00001	Control_Batch2_Rep6	388.221942
GENE_00001	Control_Batch3_Rep2	405.787736
GENE_00001	Control_Batch3_Rep5	383.490298
GENE_00001	Treatment_Batch1_Rep2	221.811384
GENE_00001	Treatment_Batch1_Rep5	203.863980
GENE_00001	Treatment_Batch2_Rep1	191.974065
GENE_00001	Treatment_Batch2_Rep4	207.958453
GENE_00001	Treatment_Batch3_Rep3	195.675280
GENE_00001	Treatment_Batch3_Rep6	209.714878
GENE_00002	Control_Batch1_Rep1	116.309511
GENE_00002	Control_Batch1_Rep4	114.638324
GENE_00002	Control_Batch2_Rep3	105.915390
GENE_00002	Control_Batch2_Rep6	110.824603
GENE_00002	Control_Batch3_Rep2	119.600596
GENE_00002	Control_Batch3_Rep5	90.901404
GENE_00002	Treatment_Batch1_Rep2	210.515433
GENE_00002	Treatment_Batch1_Rep5	193.619558
GENE_00002	Treatment_Batch2_Rep1	224.198283
GENE_00002	Treatment_Batch2_Rep4	233.103756
GENE_00002	Treatment_Batch3_Rep3	220.686406
GENE_00002	Treatment_Batch3_Rep6	250.777931
GENE_00003	Control_Batch1_Rep1	274.731087
GENE_00003	Control_Batch1_Rep4	287.601410
GENE_00003	Control_Batch2_Rep3	289.102386
GENE_00003	Control_Batch2_Rep6	278.069004
GENE_00003	Control_Batch3_Rep2	306.120572
GENE_00003	Control_Batch3_Rep5	308.212573
GENE_00003	Treatment_Batch1_Rep2	162.250919
GENE_00003	Treatment_Batch1_Rep5	169.032948
GENE_00003	Treatment_Batch2_Rep1	160.435469
GENE_00003	Treatment_Batch2_Rep4	144.755394
GENE_00003	Treatment_Batch3_Rep3	170.664154
GENE_00003	Treatment_Batch3_Rep6	162.785674
GENE_00004	Control_Batch1_Rep1	4.010673
GENE_00004	Control_Batch1_Rep4	3.016798
GENE_00004	Control_Batch2_Rep3	5.995211
GENE_00004	Control_Batch2_Rep6	4.029986
GENE_00004	Control_Batch3_Rep2	5.695266
GENE_00004	Control_Batch3_Rep5	7.101672
GENE_00004	Treatment_Batch1_Rep2	8.215236
GENE_00004	Treatment_Batch1_Rep5	5.122211
GENE_00004	Treatment_Batch2_Rep1	5.484973
GENE_00004	Treatment_Batch2_Rep4	7.475631
GENE_00004	Treatment_Batch3_Rep3	4.413728
GENE_00004	Treatment_Batch3_Rep6	11.732301
GENE_00005	Control_Batch1_Rep1	48.128074
GENE_00005	Control_Batch1_Rep4	45.251970
GENE_00005	Control_Batch2_Rep3	53.290762
GENE_00005	Control_Batch2_Rep6	51.046484
GENE_00005	Control_Batch3_Rep2	46.985948
GENE_00005	Control_Batch3_Rep5	59.654046
GENE_00005	Treatment_Batch1_Rep2	22.591900
GENE_00005	Treatment_Batch1_Rep5	28.684379
GENE_00005	Treatment_Batch2_Rep1	29.481731
GENE_00005	Treatment_Batch2_Rep4	33.980139
GENE_00005	Treatment_Batch3_Rep3	20.597398
GENE_00005	Treatment_Batch3_Rep6	30.797290
GENE_00006	Control_Batch1_Rep1	929.473423
GENE_00006	Control_Batch1_Rep4	911.072999
GENE_00006	Control_Batch2_Rep3	977.219355
GENE_00006	Control_Batch2_Rep6	966.524871
GENE_00006	Control_Batch3_Rep2	969.619115
GENE_00006	Control_Batch3_Rep5	903.332703
GENE_00006	Treatment_Batch1_Rep2	912.918148
GENE_00006	Treatment_Batch1_Rep5	938.388971
GENE_00006	Treatment_Batch2_Rep1	1005.806976
GENE_00006	Treatment_Batch2_Rep4	973.191192
GENE_00006	Treatment_Batch3_Rep3	987.203858
GENE_00006	Treatment_Batch3_Rep6	1010.444410
GENE_00007	Control_Batch1_Rep1	24.064037
GENE_00007	Control_Batch1_Rep4	24.134384
GENE_00007	Control_Batch2_Rep3	25.979247
GENE_00007	Control_Batch2_Rep6	24.179913
GENE_00007	Control_Batch3_Rep2	28.476332
GENE_00007	Control_Batch3_Rep5	34.088027
GENE_00007	Treatment_Batch1_Rep2	26.699518
GENE_00007	Treatment_Batch1_Rep5	24.586611
GENE_00007	Treatment_Batch2_Rep1	25.368001
GENE_00007	Treatment_Batch2_Rep4	34.659742
GENE_00007	Treatment_Batch3_Rep3	30.896097
