sample_id	gene_id	normalized_count	raw_count
sample3	ENSG00000001	83180	4159
sample3	ENSG00000002	38400	1920
sample3	ENSG00000003	50740	2537
sample3	ENSG00000004	34720	1736
sample3	ENSG00000005	35120	1756
sample2	ENSG00000001	98620	4931
sample2	ENSG00000002	32120	1606
sample2	ENSG00000003	71920	3596
sample2	ENSG00000004	64480	3224
sample2	ENSG00000005	68200	3410
sample1	ENSG00000001	63880	3194
sample1	ENSG00000002	63540	3177
sample1	ENSG00000003	74780	3739
sample1	ENSG00000004	66460	3323
sample1	ENSG00000005	18280	914
sample4	ENSG00000001	45500	2275
sample4	ENSG00000002	8280	414
sample4	ENSG00000003	74800	3740
sample4	ENSG00000004	90720	4536
sample4	ENSG00000005	34580	1729
